,Weight
MSFT,0.05
JNJ,0.05
GOOGL,0.049999999999999996
DUK,0.04999999999999999
CME,0.04999999999999999
ED,0.04999999999999999
KO,0.04999999999999998
MO,0.04999999999999998
CNP,0.049999999999999975
CHD,0.04601310760779739
TTWO,0.04075106622686687
TJX,0.03406657425215468
AWK,0.0338429795609579
EW,0.03244277263181603
XOM,0.032004427790165324
PM,0.03183436478204319
UPS,0.027260200558368225
DLR,0.026574125987169614
PEP,0.022366261967546833
UNH,0.02153717508571023
CF,0.021498858707983876
PWR,0.021114193356452714
HOLX,0.020662874592022352
DG,0.020270297906642983
AMZN,0.01914390333509539
AZO,0.015323376549712091
VRTX,0.013014469762003624
LDOS,0.012782272798549191
NVDA,0.010234183482648677
EA,0.009923053761708376
NFLX,0.00899124475112823
HSY,0.007164018813140131
CRM,0.006505951557617836
BMY,0.004675562057691298
VZ,0.003555869579272685
AVGO,0.003191228971409101
MCD,0.001604514687553825
ORCL,0.0010928006607764237
REGN,0.0005582682179946865
EXR,2.6676531400199747e-17
CTAS,2.4888734600909403e-17
AEP,2.4143479489173517e-17
ACN,2.386572527855747e-17
BAC,2.1206421118154196e-17
AXP,2.0335939769008198e-17
AMAT,1.883362539624258e-17
DD,1.7423065588979305e-17
SO,1.7272394118242688e-17
O,1.6775628837196382e-17
SLB,1.6524038376113126e-17
ADBE,1.620428983604018e-17
AFL,1.5819514556236416e-17
RSG,1.5092218353159648e-17
GPN,1.4101691800521816e-17
ECL,1.3638432739099408e-17
CVX,1.3627237993163554e-17
IRM,1.3237860794323888e-17
FIS,1.3021375156779901e-17
PKG,1.2903472694605628e-17
AON,1.257370754538495e-17
IBM,1.2310215549350132e-17
DHR,1.2089581896815163e-17
SBAC,1.162151059262477e-17
TXN,1.1080174552407085e-17
BIIB,1.0992565113439725e-17
GWW,1.0677195976786746e-17
CAT,1.044299505319273e-17
CI,1.0435385008442422e-17
COP,1.0422727368920863e-17
HPE,1.0299772218524081e-17
TMO,1.0035050097355681e-17
C,9.489283177029849e-18
TROW,9.455974511369651e-18
IT,9.439153878756733e-18
BBY,9.39468551455442e-18
IDXX,8.387255174885303e-18
KDP,8.257053466993739e-18
KMB,8.083461403409365e-18
JPM,7.650156109306488e-18
CL,7.577631841506566e-18
WELL,7.470478191517093e-18
TSCO,7.448812602467859e-18
BALL,7.287718366631804e-18
AMP,7.116810969900505e-18
LH,7.086366524996393e-18
LVS,6.961121475749521e-18
ETN,6.37393057680691e-18
ORLY,6.362267623753107e-18
CBRE,6.253110190418443e-18
WTW,6.161007808653963e-18
SHW,6.145216344019193e-18
WEC,5.993151253641595e-18
ADSK,5.893164861062349e-18
JCI,5.773086803504289e-18
DE,5.6320283087265015e-18
PG,5.5561579605280206e-18
MTD,5.5551525621002864e-18
ETR,5.5366782735366244e-18
AMGN,5.504906512353315e-18
ABBV,5.4500240361997054e-18
CDW,5.400503326716896e-18
MMM,5.356994580763109e-18
ITW,5.294020566650232e-18
GM,5.103987042748718e-18
ICE,5.089267208947735e-18
VMC,4.970701956530232e-18
FANG,4.8800386656292964e-18
TRGP,4.8474923651006325e-18
BKR,4.808135462590682e-18
AAPL,4.793002515029987e-18
STT,4.7753754471473436e-18
NXPI,4.685428343652271e-18
EQIX,4.676687498521799e-18
CMG,4.6501715059496785e-18
GIS,4.62249592076767e-18
QCOM,4.506159752460539e-18
BK,4.237905378102084e-18
APO,4.159854689835396e-18
KEYS,4.1189166441360964e-18
TSN,4.058627581488823e-18
SRE,3.979324856831151e-18
NTRS,3.947013501460363e-18
CTVA,3.934984288669111e-18
NDAQ,3.9139526550390656e-18
RMD,3.888941813799404e-18
STZ,3.8301863585210494e-18
SYK,3.771425248187675e-18
MS,3.671595253638394e-18
ON,3.620901517867191e-18
NEM,3.526873345617925e-18
IR,3.501981712132385e-18
CAH,3.457416904269988e-18
SNPS,3.425337928368972e-18
RTX,3.184176384499024e-18
TRV,3.137033184644839e-18
CB,3.0010051246844615e-18
CNC,2.989615983506912e-18
YUM,2.955341607243629e-18
SPGI,2.869632671304689e-18
CCI,2.868133671616716e-18
ALL,2.827927588514342e-18
MAR,2.808127560148719e-18
MDT,2.801239101223743e-18
EXC,2.7900512460256762e-18
