,Weight (%),MCR,CCR,CCR (%),Stock Vol (%),W/CCR Ratio,Cumulative CCR (%)
CNP,4.999999999999997,0.10138056691464989,0.005069028345732492,5.156271177934328,16.581489425722356,6.156656477652762e+16,5.156271177934328
ED,4.999999999999999,0.09744531248236814,0.004872265624118406,4.956121981450792,19.934771336134393,1666098218738300.0,10.112393159385121
DUK,4.999999999999999,0.0965586171161555,0.004827930855807774,4.911024169320196,16.75568296403042,inf,15.023417328705317
KO,4.999999999999998,0.09581529860811974,0.004790764930405985,4.873218582750171,17.67958777164623,2589275268292826.0,19.89663591145549
JNJ,5.0,0.09576766345063406,0.0047883831725317036,4.870795832541975,19.665763026743484,6917144880910830.0,24.767431743997466
CHD,4.601310760779739,0.1031543495376763,0.004746452185489445,4.828143173057371,22.456239050538507,inf,29.595574917054837
GOOGL,5.0,0.09312591044558359,0.0046562955222791795,4.736434827334429,31.951067343320606,7646763185619124.0,34.33200974438927
MSFT,5.0,0.09056775967777697,0.004528387983888849,4.606325877717324,24.040065598057623,inf,38.93833562210659
MO,4.999999999999998,0.08805269627889403,0.0044026348139447,4.478408375290496,20.47370966342326,inf,43.41674399739709
TTWO,4.075106622686687,0.10319374110665394,0.004205254978035409,4.277631443383753,29.979999305027512,6308118097891659.0,47.694375440780846
CME,4.999999999999999,0.07238545530703892,0.003619272765351945,3.6815639156522,19.064925229600995,inf,51.375939356433044
TJX,3.406657425215468,0.10314515720610055,0.003513802156711792,3.5742780568330725,18.012358432536995,inf,54.95021741326612
AWK,3.38429795609579,0.10318938495827151,0.0034922362460505993,3.552340976196735,24.44686169814054,1333520764077159.5,58.50255838946285
EW,3.244277263181603,0.10327687301096415,0.0033505881092196475,3.4082549392811154,23.398169579649924,1431609420332409.0,61.91081332874396
XOM,3.2004427790165324,0.10321445891203058,0.0033033196971510685,3.360172992574085,24.29829030283355,inf,65.27098632131805
PM,3.183436478204319,0.10318077994308258,0.0032846945872038167,3.3412273266482426,26.568343118931498,inf,68.61221364796629
UPS,2.7260200558368224,0.10325250723363533,0.0028146840553432647,2.863127463427228,33.30480406779534,6566317101053273.0,71.47534111139352
DLR,2.6574125987169612,0.10314719288006069,0.0027410464988176174,2.7882225340345244,27.264983570190402,1026047245083845.0,74.26356364542804
PEP,2.2366261967546834,0.10315398547308781,0.0023071690620876024,2.3468776511142218,22.543249252204934,inf,76.61044129654226
UNH,2.153717508571023,0.10314478677624511,0.00222144733197824,2.259680567937979,49.46643351443696,inf,78.87012186448024
CF,2.1498858707983874,0.10314551475461232,0.0022175108480716765,2.2556763333735965,33.21531523069069,2994401548227671.0,81.12579819785384
PWR,2.1114193356452713,0.10327322336555696,0.0021805308066845,2.2180598300600876,41.53453265307717,1948259001404185.2,83.34385802791392
HOLX,2.0662874592022353,0.10311730035622332,0.0021306998455285445,2.1673712303418533,28.247553457355163,inf,85.51122925825578
DG,2.0270297906642982,0.10328182539350304,0.0020935533690681907,2.1295854274481703,37.6780627111739,1.0090316266060895,87.64081468570396
AMZN,1.914390333509539,0.1031605930434555,0.001974896421215026,2.0088862798902336,34.35923368141438,1338971772002320.5,89.64970096559419
AZO,1.532337654971209,0.10314926676264662,0.001580595055430736,1.6077986099967876,23.41594386620405,inf,91.25749957559098
VRTX,1.3014469762003624,0.10316619696204349,0.001342653350823425,1.3657617007875236,35.41237698893098,inf,92.62326127637851
LDOS,1.278227279854919,0.1032038587896557,0.0013191798769123279,1.3418842259109662,26.910692262249697,1616870894813165.5,93.96514550228947
NVDA,1.0234183482648678,0.10322673053643551,0.001056441300623814,1.0746236671120597,48.69726847428569,inf,95.03976916940154
EA,0.9923053761708376,0.10321493445219296,0.0010242073435803168,1.041834932798888,32.290346598744556,2.9595286379929737,96.08160410220043
NFLX,0.899124475112823,0.10310538166432019,0.0009270457217023918,0.943001066361295,33.79056763934848,0.2531075933131448,97.02460516856172
HSY,0.7164018813140131,0.103064257473124,0.0007383542794997787,0.7510620637373905,27.130287553228083,223690715227334.06,97.77566723229911
CRM,0.6505951557617836,0.10326432763082014,0.0006718327131960928,0.6833955975730199,33.06024208562544,0.4046496568143466,98.45906282987214
BMY,0.4675562057691298,0.10319382821942183,0.00048248914781064226,0.4907932481017935,29.277190357139187,1834488807968503.0,98.94985607797393
VZ,0.3555869579272685,0.10313705801210961,0.0003667419270809427,0.37305390685762657,21.249900544464904,139964705290419.03,99.32290998483155
AVGO,0.31912289714091013,0.10328893550556313,0.00032961864341135924,0.335291695924854,53.24538340321753,342396296996552.7,99.6582016807564
MCD,0.16045146875538252,0.10320310846569795,0.00016559090333442288,0.1684408813594852,18.427618506241895,inf,99.8266425621159
ORCL,0.10928006607764237,0.1031975718149481,0.00011277437466989772,0.11471532965671997,58.958980981500716,67109814055093.24,99.94135789177261
REGN,0.05582682179946866,0.10326559243608308,5.764989826945768e-05,0.058642108227291025,41.995800503725754,inf,99.9999999999999
EXR,2.667653140019975e-15,0.15464734312533107,4.125454704840359e-18,4.19645773106602e-15,26.3983240239127,1.8172976786823727,99.9999999999999
CTAS,2.4888734600909402e-15,0.15118210557579212,3.762731302082556e-18,3.827491511183488e-15,21.522458391566907,4.408193787309737,99.9999999999999
DD,1.7423065588979305e-15,0.19035806716986206,3.316621089691835e-18,3.3737033148186e-15,35.519314427195354,inf,99.9999999999999
AXP,2.03359397690082e-15,0.1548222885287628,3.1484567344209294e-18,3.202644689950331e-15,31.259429970939845,4.143484012394238e-15,99.9999999999999
ACN,2.3865725278557467e-15,0.12361857622625048,2.9502469795421097e-18,3.0010235553738185e-15,29.102341335698057,3.3344837534923704,99.9999999999999
SLB,1.6524038376113127e-15,0.16687575551339442,2.757461388146201e-18,2.804919939328226e-15,37.915305360562726,1.3327745083499212,99.9999999999999
GPN,1.4101691800521815e-15,0.18960087660681646,2.6736931270180922e-18,2.71970994620515e-15,41.14691410737886,inf,99.9999999999999
AMAT,1.883362539624258e-15,0.13519065529855018,2.5461301589654513e-18,2.5899514973112243e-15,46.681613337345304,inf,99.9999999999999
BAC,2.1206421118154195e-15,0.11777385166810848,2.4975618951809355e-18,2.5405473271954184e-15,27.20263620808798,inf,99.9999999999999
AEP,2.4143479489173518e-15,0.1033374926695257,2.4949266347293124e-18,2.537866711387757e-15,19.3025061431418,inf,99.9999999999999
AFL,1.5819514556236416e-15,0.14082807183108417,2.2278317322585438e-18,2.2661748498611485e-15,20.929669633395257,1.6913017149820306,99.9999999999999
IRM,1.3237860794323888e-15,0.16188029486946479,2.1429488088260784e-18,2.179831010027998e-15,33.4053105135099,2.741811980265107e-16,99.9999999999999
ADBE,1.620428983604018e-15,0.11715228097319967,1.898369515842943e-18,1.9310422731904528e-15,31.749342486972985,4.583283139201325,99.9999999999999
TXN,1.1080174552407086e-15,0.1685907619599539,1.8680150704396016e-18,1.9001653987126846e-15,41.04861045977826,2.8011882225002607,99.9999999999999
DHR,1.2089581896815163e-15,0.15439726634628267,1.8665983961377683e-18,1.898724342089434e-15,32.74584152025145,3.2838169250345493e-16,99.9999999999999
FIS,1.30213751567799e-15,0.1392082089975802,1.8126823142609154e-18,1.843880312810566e-15,29.73142204354362,0.9001494341448169,99.9999999999999
PKG,1.2903472694605628e-15,0.1387896273576283,1.7908681669036467e-18,1.8216907230868885e-15,28.419128611284528,1.3962950656716253,99.9999999999999
SO,1.7272394118242688e-15,0.10352217347002038,1.788075780151279e-18,1.8188502766843745e-15,17.399918679795494,1.3321915319631856,99.9999999999999
